product_names,prices,links,ratings,reviews
"Toshiba Canvio Basics 2TB Portable External Hard Drive USB 3.0, Black - HDTB520XK3AA ",70.,https://www.amazon.com//Toshiba-Canvio-Basics-Portable-External/dp/B0BQX6NNVC/ref=sr_1_5?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7diW5SZlGDgsfPACTBgcyfAnYo8JqmvsRgyMfOks2pU2C7AXp8v8GNPXua5UL3kqrTXDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWKpaj-X09b9qwH_7WQXVU_9ZKdVRQaOgeSHq4baNmm9CqOFDqX5Tr5ZB37ljh2pmIGZTrl7EiBQoJE3GlZcDkPHFVyrPkrSb3o7BePJz2983EavAp-ZwWejIyysFagpcsk4DYBOthZRmU4nSEq9gsDc.kV0JUeCN7vCZ0PdZAbp1nbW6XGIZz73EmRJgneWn2ns&dib_tag=se&qid=1715635856&s=computers-intl-ship&sr=1-5,4.7,"77,987"
"SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-2T00-G25 ",165.,https://www.amazon.com//SanDisk-2TB-Extreme-Portable-SDSSDE61-2T00-G25/dp/B08HN37XC1/ref=sr_1_6?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7diW5SZlGDgsfPACTBgcyfAnYo8JqmvsRgyMfOks2pU2C7AXp8v8GNPXua5UL3kqrTXDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWKpaj-X09b9qwH_7WQXVU_9ZKdVRQaOgeSHq4baNmm9CqOFDqX5Tr5ZB37ljh2pmIGZTrl7EiBQoJE3GlZcDkPHFVyrPkrSb3o7BePJz2983EavAp-ZwWejIyysFagpcsk4DYBOthZRmU4nSEq9gsDc.kV0JUeCN7vCZ0PdZAbp1nbW6XGIZz73EmRJgneWn2ns&dib_tag=se&qid=1715635856&s=computers-intl-ship&sr=1-6,4.6,"61,305"
"Seagate Storage Expansion Card 2TB Solid State Drive - NVMe SSD for Xbox Series X|S, Quick Resume, Plug & Play, Licensed (STJR2000400) Black ",249.,https://www.amazon.com//Seagate-Storage-Expansion-Solid-State/dp/B09BJYXMDW/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7diW5SZlGDgsfPACTBgcyfAnYo8JqmvsRgyMfOks2pU2C7AXp8v8GNPXua5UL3kqrTXDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWKpaj-X09b9qwH_7WQXVU_9ZKdVRQaOgeSHq4baNmm9CqOFDqX5Tr5ZB37ljh2pmIGZTrl7EiBQoJE3GlZcDkPHFVyrPkrSb3o7BePJz2983EavAp-ZwWejIyysFagpcsk4DYBOthZRmU4nSEq9gsDc.kV0JUeCN7vCZ0PdZAbp1nbW6XGIZz73EmRJgneWn2ns&dib_tag=se&qid=1715635856&s=computers-intl-ship&sr=1-7,4.8,"4,069"
"SAMSUNG T9 Portable SSD 4TB, USB 3.2 Gen 2x2 External Solid State Drive, Seq. Read Speeds Up to 2,000MB/s for Gaming, Students and Professionals,MU-PG4T0B/AM, Black (Pack of 1) ",359.,https://www.amazon.com//SAMSUNG-Portable-Professionals-MU-PG4T0B-AM/dp/B0CHFSZX9W/ref=sr_1_8?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7diW5SZlGDgsfPACTBgcyfAnYo8JqmvsRgyMfOks2pU2C7AXp8v8GNPXua5UL3kqrTXDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWKpaj-X09b9qwH_7WQXVU_9ZKdVRQaOgeSHq4baNmm9CqOFDqX5Tr5ZB37ljh2pmIGZTrl7EiBQoJE3GlZcDkPHFVyrPkrSb3o7BePJz2983EavAp-ZwWejIyysFagpcsk4DYBOthZRmU4nSEq9gsDc.kV0JUeCN7vCZ0PdZAbp1nbW6XGIZz73EmRJgneWn2ns&dib_tag=se&qid=1715635856&s=computers-intl-ship&sr=1-8,4.7,616
"SAMSUNG T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray ",115.,https://www.amazon.com//SAMSUNG-Portable-SSD-1TB-MU-PC1T0T/dp/B0874XN4D8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7diW5SZlGDgsfPACTBgcyfAnYo8JqmvsRgyMfOks2pU2C7AXp8v8GNPXua5UL3kqrTXDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWKpaj-X09b9qwH_7WQXVU_9ZKdVRQaOgeSHq4baNmm9CqOFDqX5Tr5ZB37ljh2pmIGZTrl7EiBQoJE3GlZcDkPHFVyrPkrSb3o7BePJz2983EavAp-ZwWejIyysFagpcsk4DYBOthZRmU4nSEq9gsDc.kV0JUeCN7vCZ0PdZAbp1nbW6XGIZz73EmRJgneWn2ns&dib_tag=se&qid=1715635856&s=computers-intl-ship&sr=1-9,4.8,"31,581"
"SAMSUNG T7 Shield 4TB Portable SSD - 1050MB/s, Rugged, Water & Dust Resistant, for Content Creators - Black ",319.,https://www.amazon.com//SAMSUNG-Shield-4TB-Portable-SSD/dp/B0BHZQGN26/ref=sr_1_10?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7diW5SZlGDgsfPACTBgcyfAnYo8JqmvsRgyMfOks2pU2C7AXp8v8GNPXua5UL3kqrTXDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWKpaj-X09b9qwH_7WQXVU_9ZKdVRQaOgeSHq4baNmm9CqOFDqX5Tr5ZB37ljh2pmIGZTrl7EiBQoJE3GlZcDkPHFVyrPkrSb3o7BePJz2983EavAp-ZwWejIyysFagpcsk4DYBOthZRmU4nSEq9gsDc.kV0JUeCN7vCZ0PdZAbp1nbW6XGIZz73EmRJgneWn2ns&dib_tag=se&qid=1715635856&s=computers-intl-ship&sr=1-10,4.7,"11,807"
"Western Digital 2TB Elements Portable HDD, External Hard Drive, USB 3.0 for PC & Mac, Plug and Play Ready - WDBU6Y0020BBK-WESN ",79.,https://www.amazon.com//Western-Digital-Elements-Portable-External/dp/B06W55K9N6/ref=sr_1_11?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7diW5SZlGDgsfPACTBgcyfAnYo8JqmvsRgyMfOks2pU2C7AXp8v8GNPXua5UL3kqrTXDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWKpaj-X09b9qwH_7WQXVU_9ZKdVRQaOgeSHq4baNmm9CqOFDqX5Tr5ZB37ljh2pmIGZTrl7EiBQoJE3GlZcDkPHFVyrPkrSb3o7BePJz2983EavAp-ZwWejIyysFagpcsk4DYBOthZRmU4nSEq9gsDc.kV0JUeCN7vCZ0PdZAbp1nbW6XGIZz73EmRJgneWn2ns&dib_tag=se&qid=1715635856&s=computers-intl-ship&sr=1-11,4.7,"269,912"
CORSAIR 4000D AIRFLOW Tempered Glass Mid-Tower ATX Case - High-Airflow - Cable Management System - Spacious Interior - Two Included 120 mm Fans - Black ,104.,https://www.amazon.com//Corsair-4000D-Airflow-Tempered-Mid-Tower/dp/B08C7BGV3D/ref=sr_1_12?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7diW5SZlGDgsfPACTBgcyfAnYo8JqmvsRgyMfOks2pU2C7AXp8v8GNPXua5UL3kqrTXDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWKpaj-X09b9qwH_7WQXVU_9ZKdVRQaOgeSHq4baNmm9CqOFDqX5Tr5ZB37ljh2pmIGZTrl7EiBQoJE3GlZcDkPHFVyrPkrSb3o7BePJz2983EavAp-ZwWejIyysFagpcsk4DYBOthZRmU4nSEq9gsDc.kV0JUeCN7vCZ0PdZAbp1nbW6XGIZz73EmRJgneWn2ns&dib_tag=se&qid=1715635856&s=computers-intl-ship&sr=1-12,4.8,"16,437"
"LaCie Rugged Mini 2TB External Hard Drive Portable HDD - USB 3.0/ 2.0 Compatible, Drop Shock Dust Rain Resistant Shuttle Drive, For Mac And PC Computer (LAC9000298), orange ",93.,https://www.amazon.com//LaCie-Rugged-External-Portable-LAC9000298/dp/B00IRV005E/ref=sr_1_16?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7diW5SZlGDgsfPACTBgcyfAnYo8JqmvsRgyMfOks2pU2C7AXp8v8GNPXua5UL3kqrTXDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWKpaj-X09b9qwH_7WQXVU_9ZKdVRQaOgeSHq4baNmm9CqOFDqX5Tr5ZB37ljh2pmIGZTrl7EiBQoJE3GlZcDkPHFVyrPkrSb3o7BePJz2983EavAp-ZwWejIyysFagpcsk4DYBOthZRmU4nSEq9gsDc.kV0JUeCN7vCZ0PdZAbp1nbW6XGIZz73EmRJgneWn2ns&dib_tag=se&qid=1715635856&s=computers-intl-ship&sr=1-16,4.6,"27,731"
"SanDisk 1TB Extreme PRO Portable SSD - Up to 2000MB/s - USB-C, USB 3.2 Gen 2x2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE81-1T00-G25 ",127.,https://www.amazon.com//SanDisk-1TB-Extreme-Portable-SDSSDE81-1T00-G25/dp/B08GV9M64L/ref=sr_1_17?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7diW5SZlGDgsfPACTBgcyfAnYo8JqmvsRgyMfOks2pU2C7AXp8v8GNPXua5UL3kqrTXDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWKpaj-X09b9qwH_7WQXVU_9ZKdVRQaOgeSHq4baNmm9CqOFDqX5Tr5ZB37ljh2pmIGZTrl7EiBQoJE3GlZcDkPHFVyrPkrSb3o7BePJz2983EavAp-ZwWejIyysFagpcsk4DYBOthZRmU4nSEq9gsDc.kV0JUeCN7vCZ0PdZAbp1nbW6XGIZz73EmRJgneWn2ns&dib_tag=se&qid=1715635856&s=computers-intl-ship&sr=1-17,4.3,"11,888"
