product_names,prices,links,ratings,reviews
"Toshiba Canvio Basics 2TB Portable External Hard Drive USB 3.0, Black - HDTB520XK3AA ",70.,https://www.amazon.com//Toshiba-Canvio-Basics-Portable-External/dp/B0BQX6NNVC/ref=sr_1_3?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgN63l2KAm_arm1UN7K1lG_lvjHhAhXdyYwqmy6UDzY61Z-w5xNaNLvjGTMjS5xLB7uocgHjoiSj910KEHUtM4jWvCDh3pO3vpFDg8Eg1crVRrjDgK5BWDFqgvowriHPvGwoab_iPoMe6pxYIg0CecRgtTeXkUVXBu0i8zJMMqlVkz93fx0m0XCWD6D_epIwoEdZh4qqPxgqDvy5t9YKCLXoOjTEzK4bVWaW-ao-dUYmhdgwSZccCohu3qB6VEjhH4.mxYfQzIPIX1nR9fYps8tlH-mGtnXaBo--FBixaIcrfk&dib_tag=se&qid=1715634997&s=computers-intl-ship&sr=1-3,4.7,"77,986"
"SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-2T00-G25 ",165.,https://www.amazon.com//SanDisk-2TB-Extreme-Portable-SDSSDE61-2T00-G25/dp/B08HN37XC1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgN63l2KAm_arm1UN7K1lG_lvjHhAhXdyYwqmy6UDzY61Z-w5xNaNLvjGTMjS5xLB7uocgHjoiSj910KEHUtM4jWvCDh3pO3vpFDg8Eg1crVRrjDgK5BWDFqgvowriHPvGwoab_iPoMe6pxYIg0CecRgtTeXkUVXBu0i8zJMMqlVkz93fx0m0XCWD6D_epIwoEdZh4qqPxgqDvy5t9YKCLXoOjTEzK4bVWaW-ao-dUYmhdgwSZccCohu3qB6VEjhH4.mxYfQzIPIX1nR9fYps8tlH-mGtnXaBo--FBixaIcrfk&dib_tag=se&qid=1715634997&s=computers-intl-ship&sr=1-4,4.6,"61,305"
"SAMSUNG 980 PRO SSD 2TB PCIe NVMe Gen 4 Gaming M.2 Internal Solid State Drive Memory Card , Maximum Speed, Thermal Control MZ-V8P2T0B/AM ",169.,https://www.amazon.com//SAMSUNG-Internal-Gaming-MZ-V8P2T0B-AM/dp/B08RK2SR23/ref=sr_1_5?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgN63l2KAm_arm1UN7K1lG_lvjHhAhXdyYwqmy6UDzY61Z-w5xNaNLvjGTMjS5xLB7uocgHjoiSj910KEHUtM4jWvCDh3pO3vpFDg8Eg1crVRrjDgK5BWDFqgvowriHPvGwoab_iPoMe6pxYIg0CecRgtTeXkUVXBu0i8zJMMqlVkz93fx0m0XCWD6D_epIwoEdZh4qqPxgqDvy5t9YKCLXoOjTEzK4bVWaW-ao-dUYmhdgwSZccCohu3qB6VEjhH4.mxYfQzIPIX1nR9fYps8tlH-mGtnXaBo--FBixaIcrfk&dib_tag=se&qid=1715634997&s=computers-intl-ship&sr=1-5,4.8,"39,502"
"SAMSUNG 990 PRO SSD 4TB PCIe 4.0 M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P4T0B/AM, Black ",329.,https://www.amazon.com//SAMSUNG-Computing-Workstations-MZ-V9P4T0B-AM/dp/B0CHGT1KFJ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgN63l2KAm_arm1UN7K1lG_lvjHhAhXdyYwqmy6UDzY61Z-w5xNaNLvjGTMjS5xLB7uocgHjoiSj910KEHUtM4jWvCDh3pO3vpFDg8Eg1crVRrjDgK5BWDFqgvowriHPvGwoab_iPoMe6pxYIg0CecRgtTeXkUVXBu0i8zJMMqlVkz93fx0m0XCWD6D_epIwoEdZh4qqPxgqDvy5t9YKCLXoOjTEzK4bVWaW-ao-dUYmhdgwSZccCohu3qB6VEjhH4.mxYfQzIPIX1nR9fYps8tlH-mGtnXaBo--FBixaIcrfk&dib_tag=se&qid=1715634997&s=computers-intl-ship&sr=1-6,4.8,"6,576"
"Amazon Basics 128 gb Ultra Fast USB 3.1 Flash Drive, Black ",11.,https://www.amazon.com//Amazon-Basics-128GB-Ultra-Flash/dp/B0B6148YKN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgN63l2KAm_arm1UN7K1lG_lvjHhAhXdyYwqmy6UDzY61Z-w5xNaNLvjGTMjS5xLB7uocgHjoiSj910KEHUtM4jWvCDh3pO3vpFDg8Eg1crVRrjDgK5BWDFqgvowriHPvGwoab_iPoMe6pxYIg0CecRgtTeXkUVXBu0i8zJMMqlVkz93fx0m0XCWD6D_epIwoEdZh4qqPxgqDvy5t9YKCLXoOjTEzK4bVWaW-ao-dUYmhdgwSZccCohu3qB6VEjhH4.mxYfQzIPIX1nR9fYps8tlH-mGtnXaBo--FBixaIcrfk&dib_tag=se&qid=1715634997&s=computers-intl-ship&sr=1-7,4.6,"13,442"
"Samsung 990 EVO SSD 1TB, PCIe Gen 4x4, Gen 5x2 M.2 2280 NVMe Internal Solid State Drive, Speeds Up to 5,000MB/s, Upgrade Storage for PC Computer, Laptop, MZ-V9E1T0B/AM, Black ",89.,https://www.amazon.com//Samsung-Internal-Computer-MZ-V9E1T0B-AM/dp/B0CRCC9863/ref=sr_1_8?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgN63l2KAm_arm1UN7K1lG_lvjHhAhXdyYwqmy6UDzY61Z-w5xNaNLvjGTMjS5xLB7uocgHjoiSj910KEHUtM4jWvCDh3pO3vpFDg8Eg1crVRrjDgK5BWDFqgvowriHPvGwoab_iPoMe6pxYIg0CecRgtTeXkUVXBu0i8zJMMqlVkz93fx0m0XCWD6D_epIwoEdZh4qqPxgqDvy5t9YKCLXoOjTEzK4bVWaW-ao-dUYmhdgwSZccCohu3qB6VEjhH4.mxYfQzIPIX1nR9fYps8tlH-mGtnXaBo--FBixaIcrfk&dib_tag=se&qid=1715634997&s=computers-intl-ship&sr=1-8,4.5,193
"SanDisk 128GB Ultra USB 3.0 Flash Drive - SDCZ48-128G-GAM46, Black ",12.,https://www.amazon.com//SanDisk-128GB-Ultra-Flash-Drive/dp/B081QSJNRJ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgN63l2KAm_arm1UN7K1lG_lvjHhAhXdyYwqmy6UDzY61Z-w5xNaNLvjGTMjS5xLB7uocgHjoiSj910KEHUtM4jWvCDh3pO3vpFDg8Eg1crVRrjDgK5BWDFqgvowriHPvGwoab_iPoMe6pxYIg0CecRgtTeXkUVXBu0i8zJMMqlVkz93fx0m0XCWD6D_epIwoEdZh4qqPxgqDvy5t9YKCLXoOjTEzK4bVWaW-ao-dUYmhdgwSZccCohu3qB6VEjhH4.mxYfQzIPIX1nR9fYps8tlH-mGtnXaBo--FBixaIcrfk&dib_tag=se&qid=1715634997&s=computers-intl-ship&sr=1-9,4.7,"35,941"
"Seagate Storage Expansion Card 2TB Solid State Drive - NVMe SSD for Xbox Series X|S, Quick Resume, Plug & Play, Licensed (STJR2000400) Black ",249.,https://www.amazon.com//Seagate-Storage-Expansion-Solid-State/dp/B09BJYXMDW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgN63l2KAm_arm1UN7K1lG_lvjHhAhXdyYwqmy6UDzY61Z-w5xNaNLvjGTMjS5xLB7uocgHjoiSj910KEHUtM4jWvCDh3pO3vpFDg8Eg1crVRrjDgK5BWDFqgvowriHPvGwoab_iPoMe6pxYIg0CecRgtTeXkUVXBu0i8zJMMqlVkz93fx0m0XCWD6D_epIwoEdZh4qqPxgqDvy5t9YKCLXoOjTEzK4bVWaW-ao-dUYmhdgwSZccCohu3qB6VEjhH4.mxYfQzIPIX1nR9fYps8tlH-mGtnXaBo--FBixaIcrfk&dib_tag=se&qid=1715634997&s=computers-intl-ship&sr=1-10,4.8,"4,069"
"Western Digital WD_BLACK 2TB SN770 NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 5,150 MB/s - WDS200T3X0E ",139.,https://www.amazon.com//WD_BLACK-SN770-Internal-Gaming-Solid/dp/B09QV5KJHV/ref=sr_1_11?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgN63l2KAm_arm1UN7K1lG_lvjHhAhXdyYwqmy6UDzY61Z-w5xNaNLvjGTMjS5xLB7uocgHjoiSj910KEHUtM4jWvCDh3pO3vpFDg8Eg1crVRrjDgK5BWDFqgvowriHPvGwoab_iPoMe6pxYIg0CecRgtTeXkUVXBu0i8zJMMqlVkz93fx0m0XCWD6D_epIwoEdZh4qqPxgqDvy5t9YKCLXoOjTEzK4bVWaW-ao-dUYmhdgwSZccCohu3qB6VEjhH4.mxYfQzIPIX1nR9fYps8tlH-mGtnXaBo--FBixaIcrfk&dib_tag=se&qid=1715634997&s=computers-intl-ship&sr=1-11,4.8,"15,032"
"SAMSUNG T9 Portable SSD 4TB, USB 3.2 Gen 2x2 External Solid State Drive, Seq. Read Speeds Up to 2,000MB/s for Gaming, Students and Professionals,MU-PG4T0B/AM, Black (Pack of 1) ",359.,https://www.amazon.com//SAMSUNG-Portable-Professionals-MU-PG4T0B-AM/dp/B0CHFSZX9W/ref=sr_1_12?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgN63l2KAm_arm1UN7K1lG_lvjHhAhXdyYwqmy6UDzY61Z-w5xNaNLvjGTMjS5xLB7uocgHjoiSj910KEHUtM4jWvCDh3pO3vpFDg8Eg1crVRrjDgK5BWDFqgvowriHPvGwoab_iPoMe6pxYIg0CecRgtTeXkUVXBu0i8zJMMqlVkz93fx0m0XCWD6D_epIwoEdZh4qqPxgqDvy5t9YKCLXoOjTEzK4bVWaW-ao-dUYmhdgwSZccCohu3qB6VEjhH4.mxYfQzIPIX1nR9fYps8tlH-mGtnXaBo--FBixaIcrfk&dib_tag=se&qid=1715634997&s=computers-intl-ship&sr=1-12,4.7,616
